ID,Name,Price,Size,Age,Floor,Location,Tags,District,District_Index
07f5b328790363a,美術館首排景觀✅美術園邸A✅綠化四房平車,35000000,40.88,18.9,3,高雄市,"平面車位,景觀宅",未知區域,0
0eb4fd287344013,大社生活圈精美三房車位,7980000,27.99,29.5,6,高雄市,"裝潢美宅,房間皆有窗,採光佳,無暗房",未知區域,0
01de8d287646597,No.1時尚美二房|O2鹽埕埔捷運|駁二特區 ,8500000,12.4,6.7,4,高雄市,"廁所開窗,裝潢美宅,近捷運",未知區域,0
07621d28722514e,❤️高樓景觀CP質高兩房平移車位❤️,11880000,13.2,0.3,27,高雄市,"景觀宅,高樓層,重劃區",未知區域,0
0d52a828764360b,C29樹德家商輕軌站| 建興商圈 | 1樓庭院美寓,9280000,25.92,44.3,1,高雄市,"免爬樓梯,有庭院,近輕軌站,近學區,大面寬,近商圈,近台鐵,近公園",未知區域,0
0b67f1287920538,陳柏任左營區✅太普NEWS✅ 巨蛋捷運三房+平車,18380000,25.3,16.9,5,高雄市,平面車位,未知區域,0
09c42328764428e,No.1文山特區|陽光峇里島|陽台進出三房平車,13380000,22.57,19.4,5,高雄市,"平面車位,近公園,近捷運,近商圈",文山區,8
0c5d5b28736373c,【富邦大無疆】景觀兩房平車,11800000,12.14,4.0,25,高雄市,"平面車位,景觀宅,裝潢美宅,近公園,近學區,近商圈",未知區域,0
0d6c3a28651292e,龍華國小大順輕軌站旁高樓美裝潢景觀屋,15800000,20.7,29.4,11,高雄市,"景觀宅,裝潢美宅,近學區,高樓層",未知區域,0
0f565528722894e,★公寓價買捷運透天★捷運R3+R4丨出門即二苓商圈,8680000,22.95,52.2,2,高雄市,近商圈,未知區域,0
00e76d28733910b,亞灣三多大遠百｜捷運｜面寬5米金店面｜門口停車,7580000,13.91,46.8,1,高雄市,"免爬樓梯,近商圈,近捷運,平面車位",未知區域,0
0a3168287623816,臨美術景觀精美採光3+1房平面車位,19980000,29.22,12.0,8,高雄市,"廁所開窗,三面採光,雙衛浴,平面車位,景觀宅,近學區",未知區域,0
0fafed287171528,✨前鎮草衙低總價漂亮大三房,6980000,24.57,31.5,7,高雄市,"邊間,高樓層",未知區域,0
093ca028655481f,太普建設美術君臨,49880000,41.08,8.0,29,高雄市,"平面車位,景觀宅,近台鐵",未知區域,0
